train_loss_values,validation_loss_values
0.21540917942278545,0.11177400226499734
0.07071015002849049,0.07163813511881907
0.11058040519458348,0.07399036070269853
0.050989031520150975,0.04985433875643313
0.061827911128422085,0.051682273752747164
0.03919628290572583,0.03496148149298385
0.0738706033127039,0.05218480699883012
0.027662326992266225,0.059453176264044706
0.052593620690032795,0.11086922509151763
0.02390959199413402,0.05552793353146452
0.05271157178898441,0.054233140226971684
0.026787424372543094,0.08062317657131063
